LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,0,1,0,0,0,Alpine,31/10/2020,01/11/2020
Ararat (RC),VIC220,11845,0,7,0,0,0,Ararat,31/10/2020,01/11/2020
Ballarat (C),VIC241,109505,0,58,0,0,0,Ballarat,31/10/2020,01/11/2020
Banyule (C),VIC188,131631,5,450,3.8,0,1,Banyule,31/10/2020,01/11/2020
Bass Coast (S),VIC173,36320,0,10,0,0,0,Bass Coast,31/10/2020,01/11/2020
Baw Baw (S),VIC194,53396,0,16,0,0,0,Baw Baw,31/10/2020,01/11/2020
Bayside (C),VIC182,106862,1,247,0.9,0,1,Bayside,31/10/2020,01/11/2020
Benalla (RC),VIC199,14037,0,3,0,0,0,Benalla,31/10/2020,01/11/2020
Boroondara (C),VIC201,183199,0,271,0,0,0,Boroondara,31/10/2020,01/11/2020
Brimbank (C),VIC189,209523,7,2021,3.3,0,1,Brimbank,31/10/2020,01/11/2020
Buloke (S),VIC183,6124,0,0,0,0,0,Buloke,31/10/2020,01/11/2020
Campaspe (S),VIC239,37622,0,10,0,0,0,Campaspe,31/10/2020,01/11/2020
Cardinia (S),VIC212,112159,0,204,0,0,0,Cardinia,31/10/2020,01/11/2020
Casey (C),VIC213,353872,2,1063,0.6,0,1,Casey,31/10/2020,01/11/2020
Central Goldfields (S),VIC169,13186,0,2,0,0,0,Central Goldfields,31/10/2020,01/11/2020
Colac-Otway (S),VIC224,21564,0,137,0,0,0,Colac-Otway,31/10/2020,01/11/2020
Corangamite (S),VIC231,16020,0,3,0,0,0,Corangamite,31/10/2020,01/11/2020
Darebin (C),VIC205,164184,7,667,4.3,0,1,Darebin,31/10/2020,01/11/2020
East Gippsland (S),VIC243,47316,0,7,0,0,0,East Gippsland,31/10/2020,01/11/2020
Frankston (C),VIC227,142643,1,248,0.7,0,1,Frankston,31/10/2020,01/11/2020
Gannawarra (S),VIC214,10472,0,2,0,0,0,Gannawarra,31/10/2020,01/11/2020
Glen Eira (C),VIC177,156511,1,232,0.6,0,1,Glen Eira,31/10/2020,01/11/2020
Glenelg (S),VIC223,19674,0,20,0,0,0,Glenelg,31/10/2020,01/11/2020
Golden Plains (S),VIC230,23722,0,18,0,0,0,Golden Plains,31/10/2020,01/11/2020
Greater Bendigo (C),VIC193,118093,0,99,0,0,0,Greater Bendigo,31/10/2020,01/11/2020
Greater Dandenong (C),VIC247,168201,2,540,1.2,0,1,Greater Dandenong,31/10/2020,01/11/2020
Greater Geelong (C),VIC215,258934,0,366,0,0,0,Greater Geelong,31/10/2020,01/11/2020
Greater Shepparton (C),VIC93,66498,0,52,0,0,0,Greater Shepparton,31/10/2020,01/11/2020
Hepburn (S),VIC94,15975,0,2,0,0,0,Hepburn,31/10/2020,01/11/2020
Hindmarsh (S),VIC152,5588,0,0,0,0,0,Hindmarsh,31/10/2020,01/11/2020
Hobsons Bay (C),VIC235,97751,2,504,2,0,1,Hobsons Bay,31/10/2020,01/11/2020
Horsham (RC),VIC153,19921,0,14,0,0,0,Horsham,31/10/2020,01/11/2020
Hume (C),VIC198,233471,6,1665,2.6,0,1,Hume,31/10/2020,01/11/2020
Indigo (S),VIC191,16701,0,1,0,0,0,Indigo,31/10/2020,01/11/2020
Kingston (C),VIC226,165782,0,300,0,0,0,Kingston,31/10/2020,01/11/2020
Knox (C),VIC209,164538,0,166,0,0,0,Knox,31/10/2020,01/11/2020
Latrobe (C),VIC219,75561,0,56,0,0,0,Latrobe,31/10/2020,01/11/2020
Loddon (S),VIC185,7504,0,5,0,0,0,Loddon,31/10/2020,01/11/2020
Macedon Ranges (S),VIC228,50231,0,57,0,0,0,Macedon Ranges,31/10/2020,01/11/2020
Manningham (C),VIC195,127573,0,166,0,0,0,Manningham,31/10/2020,01/11/2020
Mansfield (S),VIC244,9176,0,10,0,0,0,Mansfield,31/10/2020,01/11/2020
Maribyrnong (C),VIC234,93448,2,596,2.1,0,1,Maribyrnong,31/10/2020,01/11/2020
Maroondah (C),VIC207,118558,0,104,0,0,0,Maroondah,31/10/2020,01/11/2020
Melbourne (C),VIC132,178955,2,883,1.1,0,1,Melbourne,31/10/2020,01/11/2020
Melton (C),VIC237,164895,5,1153,3,0,1,Melton,31/10/2020,01/11/2020
Mildura (RC),VIC222,55777,0,6,0,0,0,Mildura,31/10/2020,01/11/2020
Mitchell (S),VIC211,46082,0,89,0,0,0,Mitchell,31/10/2020,01/11/2020
Moira (S),VIC190,29925,0,12,0,0,0,Moira,31/10/2020,01/11/2020
Monash (C),VIC210,202847,1,337,0.5,0,1,Monash,31/10/2020,01/11/2020
Moonee Valley (C),VIC121,130294,0,811,0,0,0,Moonee Valley,31/10/2020,01/11/2020
Moorabool (S),VIC236,35049,0,38,0,0,0,Moorabool,31/10/2020,01/11/2020
Moreland (C),VIC131,185767,1,1052,0.5,0,1,Moreland,31/10/2020,01/11/2020
Mornington Peninsula (S),VIC204,167636,0,185,0,0,0,Mornington Peninsula,31/10/2020,01/11/2020
Mount Alexander (S),VIC105,19754,0,9,0,0,0,Mount Alexander,31/10/2020,01/11/2020
Moyne (S),VIC229,16953,0,2,0,0,0,Moyne,31/10/2020,01/11/2020
Murrindindi (S),VIC250,14570,0,9,0,0,0,Murrindindi,31/10/2020,01/11/2020
Nillumbik (S),VIC216,65094,0,136,0,0,0,Nillumbik,31/10/2020,01/11/2020
Northern Grampians (S),VIC166,11402,0,3,0,0,0,Northern Grampians,31/10/2020,01/11/2020
Other,,,0,193,0,0,0,,31/10/2020,01/11/2020
Port Phillip (C),VIC208,115601,1,294,0.9,0,1,Port Phillip,31/10/2020,01/11/2020
Pyrenees (S),VIC217,7472,0,3,0,0,0,Pyrenees,31/10/2020,01/11/2020
Queenscliffe (B),VIC238,2940,0,2,0,0,0,Queenscliffe,31/10/2020,01/11/2020
South Gippsland (S),VIC178,29914,0,11,0,0,0,South Gippsland,31/10/2020,01/11/2020
Southern Grampians (S),VIC233,16100,0,2,0,0,0,Southern Grampians,31/10/2020,01/11/2020
Stonnington (C),VIC203,117768,0,260,0,0,0,Stonnington,31/10/2020,01/11/2020
Strathbogie (S),VIC110,10781,0,2,0,0,0,Strathbogie,31/10/2020,01/11/2020
Surf Coast (S),VIC225,33456,0,15,0,0,0,Surf Coast,31/10/2020,01/11/2020
Swan Hill (RC),VIC180,20649,0,5,0,0,0,Swan Hill,31/10/2020,01/11/2020
Towong (S),VIC187,6040,0,0,0,0,0,Towong,31/10/2020,01/11/2020
Wangaratta (RC),VIC186,29187,0,2,0,0,0,Wangaratta,31/10/2020,01/11/2020
Warrnambool (C),VIC179,35181,0,13,0,0,0,Warrnambool,31/10/2020,01/11/2020
Wellington (S),VIC218,44380,0,16,0,0,0,Wellington,31/10/2020,01/11/2020
West Wimmera (S),VIC232,3841,0,1,0,0,0,West Wimmera,31/10/2020,01/11/2020
Whitehorse (C),VIC196,178739,1,217,0.6,0,1,Whitehorse,31/10/2020,01/11/2020
Whittlesea (C),VIC197,230238,2,1206,0.9,0,1,Whittlesea,31/10/2020,01/11/2020
Wodonga (RC),VIC192,42083,0,2,0,0,0,Wodonga,31/10/2020,01/11/2020
Wyndham (C),VIC221,270487,11,2265,4.1,0,1,Wyndham,31/10/2020,01/11/2020
Yarra (C),VIC202,101495,1,462,1,0,1,Yarra,31/10/2020,01/11/2020
Yarra Ranges (S),VIC206,159462,0,249,0,0,0,Yarra Ranges,31/10/2020,01/11/2020
Yarriambiack (S),VIC200,6639,0,1,0,0,0,Yarriambiack,31/10/2020,01/11/2020